group,primary_cat,title,abstract
Computer Science,cs.OS,"Feedback Scheduling for Energy-Efficient Real-Time Homogeneous
  Multiprocessor Systems","  Real-time scheduling algorithms proposed in the literature are often based on
worst-case estimates of task parameters. The performance of an open-loop scheme
can be degraded significantly if there are uncertainties in task parameters,
such as the execution times of the tasks. Therefore, to cope with such a
situation, a closed-loop scheme, where feedback is exploited to adjust the
system parameters, can be applied. We propose an optimal control framework that
takes advantage of feeding back information of finished tasks to solve a
real-time multiprocessor scheduling problem with uncertainty in task execution
times, with the objective of minimizing the total energy consumption.
Specifically, we propose a linear programming based algorithm to solve a
workload partitioning problem and adopt McNaughton's wrap around algorithm to
find the task execution order. The simulation results illustrate that our
feedback scheduling algorithm can save energy by as much as 40% compared to an
open-loop method for two processor models, i.e. a PowerPC 405LP and an XScale
processor.
"
Mathematics,math.MG,Concentration of maps and group action,"  In this paper, from the viewpoint of the concentration theory of maps, we
study a compact group and a L\'{e}vy group action to a large class of metric
spaces, such as R-trees, doubling spaces, metric graphs, and Hadamard
manifolds.
"
Computer Science,cs.DS,Relative-Error CUR Matrix Decompositions,"  Many data analysis applications deal with large matrices and involve
approximating the matrix using a small number of ``components.'' Typically,
these components are linear combinations of the rows and columns of the matrix,
and are thus difficult to interpret in terms of the original features of the
input data. In this paper, we propose and study matrix approximations that are
explicitly expressed in terms of a small number of columns and/or rows of the
data matrix, and thereby more amenable to interpretation in terms of the
original data. Our main algorithmic results are two randomized algorithms which
take as input an $m \times n$ matrix $A$ and a rank parameter $k$. In our first
algorithm, $C$ is chosen, and we let $A'=CC^+A$, where $C^+$ is the
Moore-Penrose generalized inverse of $C$. In our second algorithm $C$, $U$, $R$
are chosen, and we let $A'=CUR$. ($C$ and $R$ are matrices that consist of
actual columns and rows, respectively, of $A$, and $U$ is a generalized inverse
of their intersection.) For each algorithm, we show that with probability at
least $1-\delta$: $$ ||A-A'||_F \leq (1+\epsilon) ||A-A_k||_F, $$ where $A_k$
is the ``best'' rank-$k$ approximation provided by truncating the singular
value decomposition (SVD) of $A$. The number of columns of $C$ and rows of $R$
is a low-degree polynomial in $k$, $1/\epsilon$, and $\log(1/\delta)$. Our two
algorithms are the first polynomial time algorithms for such low-rank matrix
approximations that come with relative-error guarantees; previously, in some
cases, it was not even known whether such matrix decompositions exist. Both of
our algorithms are simple, they take time of the order needed to approximately
compute the top $k$ singular vectors of $A$, and they use a novel, intuitive
sampling method called ``subspace sampling.''
"
Computer Science,cs.SC,On the complexity of computing with zero-dimensional triangular sets,"  We study the complexity of some fundamental operations for triangular sets in
dimension zero. Using Las-Vegas algorithms, we prove that one can perform such
operations as change of order, equiprojectable decomposition, or quasi-inverse
computation with a cost that is essentially that of modular composition. Over
an abstract field, this leads to a subquadratic cost (with respect to the
degree of the underlying algebraic set). Over a finite field, in a boolean RAM
model, we obtain a quasi-linear running time using Kedlaya and Umans' algorithm
for modular composition. Conversely, we also show how to reduce the problem of
modular composition to change of order for triangular sets, so that all these
problems are essentially equivalent. Our algorithms are implemented in Maple;
we present some experimental results.
"
Physics,physics.soc-ph,"Generating functional analysis of minority games with inner product
  strategy definitions","  We use generating functional methods to solve the so-called inner product
versions of the minority game (MG), with fake and/or real market histories, by
generalizing the theory developed recently for look-up table MGs with real
histories. The phase diagrams of the lookup table and inner product MG versions
are generally found to be identical, with the exception of inner product MGs
where histories are sampled linearly, which are found to be structurally
critical. However, we encounter interesting differences both in the theory
(where the role of the history frequency distribution in lookup table MGs is
taken over by the eigenvalue spectrum of a history covariance matrix in inner
product MGs) and in the static and dynamic phenomenology of the models. Our
theoretical predictions are supported by numerical simulations.
"
Physics,math-ph,Morse theory in path space,"  We consider the path space of a curved manifold on which a point particle is
introduced in a conservative physical system with constant total energy to
formulate its action functional and geodesic equation together with breaks on
the path. The second variation of the action functional is exploited to yield
the geodesic deviation equation and to discuss the Jacobi fields on the curved
manifold. We investigate the topology of the path space using the action
functional on it and its physical meaning by defining the gradient of the
action functional, the space of bounded flow energy solutions and the moduli
space associated with the critical points of the action functional. We also
consider the particle motion on the $n$-sphere $S^{n}$ in the conservative
physical system to discuss explicitly the moduli space of the path space and
the corresponding homology groups.
"
Electrical Engineering,eess.SY,Machine learning and control engineering: The model-free case,"  This paper states that Model-Free Control (MFC), which must not be confused
with Model-Free Reinforcement Learning, is a new tool for Machine Learning
(ML). MFC is easy to implement and should be substituted in control engineering
to ML via Artificial Neural Networks and/or Reinforcement Learning. A
laboratory experiment, which was already investigated via today's ML
techniques, is reported in order to confirm this viewpoint.
"
Computer Science,cs.PF,"Asymptotic Mean Time To Failure and Higher Moments for Large, Recursive
  Networks","  This paper deals with asymptotic expressions of the Mean Time To Failure
(MTTF) and higher moments for large, recursive, and non-repairable systems in
the context of two-terminal reliability. Our aim is to extend the well-known
results of the series and parallel cases. We first consider several exactly
solvable configurations of identical components with exponential failure-time
distribution functions to illustrate different (logarithmic or power-law)
behaviors as the size of the system, indexed by an integer n, increases. The
general case is then addressed: it provides a simple interpretation of the
origin of the power-law exponent and an efficient asymptotic expression for the
total reliability of large, recursive systems. Finally, we assess the influence
of the non-exponential character of the component reliability on the
n-dependence of the MTTF.
"
Quantitative Biology,q-bio.GN,Effect of Blast Exposure on Gene-Gene Interactions,"  Repeated exposure to low-level blast may initiate a range of adverse health
problem such as traumatic brain injury (TBI). Although many studies
successfully identified genes associated with TBI, yet the cellular mechanisms
underpinning TBI are not fully elucidated. In this study, we investigated
underlying relationship among genes through constructing transcript Bayesian
networks using RNA-seq data. The data for pre- and post-blast transcripts,
which were collected on 33 individuals in Army training program, combined with
our system approach provide unique opportunity to investigate the effect of
blast-wave exposure on gene-gene interactions. Digging into the networks, we
identified four subnetworks related to immune system and inflammatory process
that are disrupted due to the exposure. Among genes with relatively high fold
change in their transcript expression level, ATP6V1G1, B2M, BCL2A1, PELI,
S100A8, TRIM58 and ZNF654 showed major impact on the dysregulation of the
gene-gene interactions. This study reveals how repeated exposures to traumatic
conditions increase the level of fold change of transcript expression and
hypothesizes new targets for further experimental studies.
"
Economics,econ.EM,"Asymptotics for the Generalized Autoregressive Conditional Duration
  Model","  Engle and Russell (1998, Econometrica, 66:1127--1162) apply results from the
GARCH literature to prove consistency and asymptotic normality of the
(exponential) QMLE for the generalized autoregressive conditional duration
(ACD) model, the so-called ACD(1,1), under the assumption of strict
stationarity and ergodicity. The GARCH results, however, do not account for the
fact that the number of durations over a given observation period is random.
Thus, in contrast with Engle and Russell (1998), we show that strict
stationarity and ergodicity alone are not sufficient for consistency and
asymptotic normality, and provide additional sufficient conditions to account
for the random number of durations. In particular, we argue that the durations
need to satisfy the stronger requirement that they have finite mean.
"
Economics,econ.TH,Eigen mode selection in human subject game experiment,"  Eigen mode selection ought to be a practical issue in some real game systems,
as it is a practical issue in the dynamics behaviour of a building, bridge, or
molecular, because of the mathematical similarity in theory. However, its
reality and accuracy have not been known in real games. We design a 5-strategy
game which, in the replicator dynamics theory, is predicted to exist two eigen
modes. Further, in behaviour game theory, the game is predicted that the mode
selection should depends on the game parameter. We conduct human subject game
experiments by controlling the parameter. The data confirm that, the
predictions on the mode existence as well as the mode selection are
significantly supported. This finding suggests that, like the equilibrium
selection concept in classical game theory, eigen mode selection is an issue in
game dynamics theory.
"
Nonlinear Sciences,nlin.AO,Deep Time-Delay Reservoir Computing: Dynamics and Memory Capacity,"  The Deep Time-Delay Reservoir Computing concept utilizes unidirectionally
connected systems with time-delays for supervised learning. We present how the
dynamical properties of a deep Ikeda-based reservoir are related to its memory
capacity (MC) and how that can be used for optimization. In particular, we
analyze bifurcations of the corresponding autonomous system and compute
conditional Lyapunov exponents, which measure the generalized synchronization
between the input and the layer dynamics. We show how the MC is related to the
systems distance to bifurcations or magnitude of the conditional Lyapunov
exponent. The interplay of different dynamical regimes leads to a adjustable
distribution between linear and nonlinear MC. Furthermore, numerical
simulations show resonances between clock cycle and delays of the layers in all
degrees of the MC. Contrary to MC losses in a single-layer reservoirs, these
resonances can boost separate degrees of the MC and can be used, e.g., to
design a system with maximum linear MC. Accordingly, we present two
configurations that empower either high nonlinear MC or long time linear MC.
"
Economics,econ.GN,"Sales Prediction Model Using Classification Decision Tree Approach For
  Small Medium Enterprise Based on Indonesian E-Commerce Data","  The growth of internet users in Indonesia gives an impact on many aspects of
daily life, including commerce. Indonesian small-medium enterprises took this
advantage of new media to derive their activity by the meaning of online
commerce. Until now, there is no known practical implementation of how to
predict their sales and revenue using their historical transaction. In this
paper, we build a sales prediction model on the Indonesian footwear industry
using real-life data crawled on Tokopedia, one of the biggest e-commerce
providers in Indonesia. Data mining is a discipline that can be used to gather
information by processing the data. By using the method of classification in
data mining, this research will describe patterns of the market and predict the
potential of the region in the national market commodities. Our approach is
based on the classification decision tree. We managed to determine predicted
the number of items sold by the viewers, price, and type of shoes.
"
Quantitative Finance,q-fin.EC,"Inferring the contiguity matrix for spatial autoregressive analysis with
  applications to house price prediction","  Inference methods in traditional statistics, machine learning and data mining
assume that data is generated from an independent and identically distributed
(iid) process. Spatial data exhibits behavior for which the iid assumption must
be relaxed. For example, the standard approach in spatial regression is to
assume the existence of a contiguity matrix which captures the spatial
autoregressive properties of the data. However all spatial methods, till now,
have assumed that the contiguity matrix is given apriori or can be estimated by
using a spatial similarity function. In this paper we propose a convex
optimization formulation to solve the spatial autoregressive regression (SAR)
model in which both the contiguity matrix and the non-spatial regression
parameters are unknown and inferred from the data. We solve the problem using
the alternating direction method of multipliers (ADMM) which provides a
solution which is both robust and efficient. While our approach is general we
use data from housing markets of Boston and Sydney to both guide the analysis
and validate our results. A novel side effect of our approach is the automatic
discovery of spatial clusters which translate to submarkets in the housing data
sets.
"
Economics,econ.GN,The Learning Crisis: Three Years After COVID-19,"  The COVID-19 pandemic caused widespread disruptions to education, with school
closures affecting over one billion children. These closures, aimed at reducing
virus transmission, resulted in significant learning losses, particularly in
mathematics and science. Using data from TIMSS 2023, which assesses fourth and
eighth-grade achievements across 71 education systems, this study analyzes the
impact of school closure duration on learning outcomes. Mixed-effect models
estimate deviations from pre-pandemic trends, adjusting for demographic
factors. Results show a global average decline of 0.11 standard deviations (SD)
in student achievement, with longer closures linked to more severe losses. The
effects on low performers, girls, and linguistic minorities show effect sizes
up to 0.22 SD. These findings highlight the lasting impact of school closures
and emphasize the need for targeted recovery strategies and international
cooperation to promote equitable educational outcomes post-pandemic.
"
Statistics,stat.ME,"Bayesian sparse graphical models and their mixtures using lasso
  selection priors","  We propose Bayesian methods for Gaussian graphical models that lead to sparse
and adaptively shrunk estimators of the precision (inverse covariance) matrix.
Our methods are based on lasso-type regularization priors leading to
parsimonious parameterization of the precision matrix, which is essential in
several applications involving learning relationships among the variables. In
this context, we introduce a novel type of selection prior that develops a
sparse structure on the precision matrix by making most of the elements exactly
zero, in addition to ensuring positive definiteness -- thus conducting model
selection and estimation simultaneously. We extend these methods to finite and
infinite mixtures of Gaussian graphical models for clustered data using
Dirichlet process priors. We discuss appropriate posterior simulation schemes
to implement posterior inference in the proposed models, including the
evaluation of normalizing constants that are functions of parameters of
interest which result from the restrictions on the correlation matrix. We
evaluate the operating characteristics of our method via several simulations
and in application to real data sets.
"
Mathematics,math.CV,"Pseudoconvex regions of finite D'Angelo type in four dimensional almost
  complex manifolds","  Let D be a J-pseudoconvex region in a smooth almost complex manifold (M,J) of
real dimension four. We construct a local peak J-plurisubharmonic function at
every boundary point p of finite D'Angelo type. As applications we give local
estimates of the Kobayashi pseudometric, implying the local Kobayashi
hyperbolicity of D at p. In case the point p is of D'Angelo type less than or
equal to four, or the approach is nontangential, we provide sharp estimates of
the Kobayashi pseudometric.
"
Nonlinear Sciences,nlin.SI,On the 3-wave Equations with Constant Boundary Conditions,"  The inverse scattering transform for a special case of the 3-wave resonant
interaction equations with non-vanishing boundary conditions is studied. The
Jost solutions and the fundamental analytic solutions (FAS) for the associated
spectral problem are constructed. The inverse scattering problem for the Lax
operator is formulated as a Riemann-Hilbert problem on a Riemann surface. The
spectral properties of the Lax operator are formulated.
"
Mathematics,math.MG,"Optimality and uniqueness of the (4,10,1/6) spherical code","  Linear programming bounds provide an elegant method to prove optimality and
uniqueness of an (n,N,t) spherical code. However, this method does not apply to
the parameters (4,10,1/6). We use semidefinite programming bounds instead to
show that the Petersen code, which consists of the midpoints of the edges of
the regular simplex in dimension 4, is the unique (4,10,1/6) spherical code.
"
Electrical Engineering,eess.AS,A Streamlined Encoder/Decoder Architecture for Melody Extraction,"  Melody extraction in polyphonic musical audio is important for music signal
processing. In this paper, we propose a novel streamlined encoder/decoder
network that is designed for the task. We make two technical contributions.
First, drawing inspiration from a state-of-the-art model for semantic
pixel-wise segmentation, we pass through the pooling indices between pooling
and un-pooling layers to localize the melody in frequency. We can achieve
result close to the state-of-the-art with much fewer convolutional layers and
simpler convolution modules. Second, we propose a way to use the bottleneck
layer of the network to estimate the existence of a melody line for each time
frame, and make it possible to use a simple argmax function instead of ad-hoc
thresholding to get the final estimation of the melody line. Our experiments on
both vocal melody extraction and general melody extraction validate the
effectiveness of the proposed model.
"
Mathematics,math.SG,A Symplectic Isotopy of a Dehn Twist on CP^n x CP^{n+1},"  The complex manifold CP^n x CP^{n+1} with symplectic form
\sigma_\mu=\sigma_{CP^n}+\mu\sigma_{CP^{n+1}}, where \sigma_{CP^n} and
\sigma_{CP^{n+1}} are normalized Fubini-Study forms, n a natural number and
\mu>1 a real number, contains a natural Lagrangian sphere L^{\mu}. We prove
that the Dehn twist along L^{\mu} is symplectically isotopic to the identity
for all \mu>1. This isotopy can be chosen so that it pointwise fixes a complex
hypersurface in CP^n x CP^{n+1} and lifts to the blow-up of CP^n x CP^{n+1}
along a complex n-dimensional submanifold.
"
Quantitative Finance,q-fin.ST,"Statistical Investigation of Connected Structures of Stock Networks in
  Financial Time Series","  In this study, we have investigated factors of determination which can affect
the connected structure of a stock network. The representative index for
topological properties of a stock network is the number of links with other
stocks. We used the multi-factor model, extensively acknowledged in financial
literature. In the multi-factor model, common factors act as independent
variables while returns of individual stocks act as dependent variables. We
calculated the coefficient of determination, which represents the measurement
value of the degree in which dependent variables are explained by independent
variables. Therefore, we investigated the relationship between the number of
links in the stock network and the coefficient of determination in the
multi-factor model. We used individual stocks traded on the market indices of
Korea, Japan, Canada, Italy and the UK. The results are as follows. We found
that the mean coefficient of determination of stocks with a large number of
links have higher values than those with a small number of links with other
stocks. These results suggest that common factors are significantly
deterministic factors to be taken into account when making a stock network.
Furthermore, stocks with a large number of links to other stocks can be more
affected by common factors.
"
Physics,cond-mat.quant-gas,"Phase Diagram of Bosons in Two-Color Superlattices from Experimental
  Parameters","  We study the zero-temperature phase diagram of a gas of bosonic 87-Rb atoms
in two-color superlattice potentials starting directly from the experimental
parameters, such as wavelengths and intensities of the two lasers generating
the superlattice. In a first step, we map the experimental setup to a
Bose-Hubbard Hamiltonian with site-dependent parameters through explicit
band-structure calculations. In the second step, we solve the many-body problem
using the density-matrix renormalization group (DMRG) approach and compute
observables such as energy gap, condensate fraction, maximum number
fluctuations and visibility of interference fringes. We study the phase diagram
as function of the laser intensities s_2 and s_1 as control parameters and show
that all relevant quantum phases, i.e. superfluid, Mott-insulator, and quasi
Bose-glass phase, and the transitions between them can be investigated through
a variation of these intensities alone.
"
Quantitative Finance,q-fin.RM,"Evolution of the Chinese Guarantee Network under Financial Crisis and
  Stimulus Program","  Our knowledge about the evolution of guarantee network in downturn period is
limited due to the lack of comprehensive data of the whole credit system. Here
we analyze the dynamic Chinese guarantee network constructed from a
comprehensive bank loan dataset that accounts for nearly 80% total loans in
China, during 01/2007-03/2012. The results show that, first, during the
2007-2008 global financial crisis, the guarantee network became smaller, less
connected and more stable because of many bankruptcies; second, the stimulus
program encouraged mutual guarantee behaviors, resulting in highly reciprocal
and fragile network structure; third, the following monetary policy adjustment
enhanced the resilience of the guarantee network by reducing mutual guarantees.
Interestingly, our work reveals that the financial crisis made the network more
resilient, and conversely, the government bailout degenerated network
resilience. These counterintuitive findings can provide new insight into the
resilience of real-world credit system under external shocks or rescues.
"
Mathematics,math.DG,On the regularity of geodesic rays associated to test configurations,"  Geodesic rays of class C^{1,1} are constructed for any test configuration of
a positive line bundle L on X using resolution of singularities. The
construction reduces to finding a subsolution of the corresponding Monge-Ampere
equation. Geometrically, this is accomplished by the use a positive line bundle
on the resolution which is trivial outside of the exceptional divisor.
"
Quantitative Finance,q-fin.ST,Fractality feature in oil price fluctuations,"  The scaling properties of oil price fluctuations are described as a
non-stationary stochastic process realized by a time series of finite length.
An original model is used to extract the scaling exponent of the fluctuation
functions within a non-stationary process formulation. It is shown that, when
returns are measured over intervals less than 10 days, the Probability Density
Functions (PDFs) exhibit self-similarity and monoscaling, in contrast to the
multifractal behavior of the PDFs at macro-scales (typically larger than one
month). We find that the time evolution of the distributions are well fitted by
a Levy distribution law at micro-scales. The relevance of a Levy distribution
is made plausible by a simple model of nonlinear transfer
"
Statistics,stat.ML,"Activized Learning: Transforming Passive to Active with Improved Label
  Complexity","  We study the theoretical advantages of active learning over passive learning.
Specifically, we prove that, in noise-free classifier learning for VC classes,
any passive learning algorithm can be transformed into an active learning
algorithm with asymptotically strictly superior label complexity for all
nontrivial target functions and distributions. We further provide a general
characterization of the magnitudes of these improvements in terms of a novel
generalization of the disagreement coefficient. We also extend these results to
active learning in the presence of label noise, and find that even under broad
classes of noise distributions, we can typically guarantee strict improvements
over the known results for passive learning.
"
Mathematics,math.GR,"3-Generator Groups whose Elements Commute with Their Endomorphic Images
  Are Abelian","  A group in which every element commutes with its endomorphic images is called
an $E$-group.
  Our main result is that all 3-generator $E$-groups are abelian. It follows
that the minimal number of generators of a finitely generated non-abelian
$E$-group is four.
"
Physics,physics.geo-ph,Transport on river networks: A dynamical approach,"  This study is motivated by problems related to environmental transport on
river networks. We establish statistical properties of a flow along a directed
branching network and suggest its compact parameterization. The downstream
network transport is treated as a particular case of nearest-neighbor
hierarchical aggregation with respect to the metric induced by the branching
structure of the river network. We describe the static geometric structure of a
drainage network by a tree, referred to as the static tree, and introduce an
associated dynamic tree that describes the transport along the static tree. It
is well known that the static branching structure of river networks can be
described by self-similar trees (SSTs); we demonstrate that the corresponding
dynamic trees are also self-similar. We report an unexpected phase transition
in the dynamics of three river networks, one from California and two from
Italy, demonstrate the universal features of this transition, and seek to
interpret it in hydrological terms.
"
Economics,econ.EM,Semiparametric Bayesian Inference for a Conditional Moment Equality Model,"I propose a semiparametric Bayesian inference framework for conditional moment equalities. The core idea is that these models deterministically map a conditional distribution of data to a structural parameter via the restriction that a conditional expectation equals zero. Consequently, a posterior for the conditional distribution leads to a posterior for the structural parameter by minimizing the distance of the conditional moments to zero. The method has similar flexibility to frequentist semiparametric estimators and does not require converting the conditional moments into unconditional moments. I also establish frequentist asymptotic optimality of my proposal via a semiparametric Bernsteinvon Mises theorem (BvM), which establishes that the posterior for the structural parameter is asymptotically normal and matches the Chamberlain (1987) semiparametric efficiency bound. The BvM conditions are verified for Gaussian process priors and complement the numerical aspects of the paper in which these priors are used to estimate welfare effects."
Quantitative Biology,q-bio.OT,"A Calculation Model for Estimating Effect of COVID-19 Contact-Confirming
  Application (COCOA) on Decreasing Infectors","  As of 2020, COVID-19 is spreading in the world. In Japan, the Ministry of
Health, Labor and Welfare developed COVID-19 Contact-Confirming Application
(COCOA). The researches to examine the effect of COCOA are still not
sufficient. We develop a mathematical model to examine the effect of COCOA and
show examined result.
"
Economics,econ.GN,"The Home Office in Times of COVID-19 Pandemic and its impact in the
  Labor Supply","  We lightly modify Eriksson's (1996) model to accommodate the home office in a
simple model of endogenous growth. By home office we mean any working activity
carried out away from the workplace which is assumed to be fixed. Due to the
strong mobility restrictions imposed on citizens during the COVID-19 pandemic,
we allow the home office to be located at home. At the home office, however, in
consequence of the fear and anxiety workers feel because of COVID-19, they
become distracted and spend less time working. We show that in the long run,
the intertemporal elasticity of substitution of the home-office labor is
sufficiently small only if the intertemporal elasticity of substitution of the
time spent on distracting activities is small enough also.
"
Statistics,stat.ML,"High-dimensional learning of linear causal networks via inverse
  covariance estimation","  We establish a new framework for statistical estimation of directed acyclic
graphs (DAGs) when data are generated from a linear, possibly non-Gaussian
structural equation model. Our framework consists of two parts: (1) inferring
the moralized graph from the support of the inverse covariance matrix; and (2)
selecting the best-scoring graph amongst DAGs that are consistent with the
moralized graph. We show that when the error variances are known or estimated
to close enough precision, the true DAG is the unique minimizer of the score
computed using the reweighted squared l_2-loss. Our population-level results
have implications for the identifiability of linear SEMs when the error
covariances are specified up to a constant multiple. On the statistical side,
we establish rigorous conditions for high-dimensional consistency of our
two-part algorithm, defined in terms of a ""gap"" between the true DAG and the
next best candidate. Finally, we demonstrate that dynamic programming may be
used to select the optimal DAG in linear time when the treewidth of the
moralized graph is bounded.
"
Nonlinear Sciences,nlin.SI,A Proximal-Projection Method for Finding Zeros of Set-Valued Operators,"  In this paper we study the convergence of an iterative algorithm for finding
zeros with constraints for not necessarily monotone set-valued operators in a
reflexive Banach space. This algorithm, which we call the proximal-projection
method is, essentially, a fixed point procedure and our convergence results are
based on new generalizations of Lemma Opial. We show how the
proximal-projection method can be applied for solving ill-posed variational
inequalities and convex optimization problems with data given or computable by
approximations only. The convergence properties of the proximal-projection
method we establish also allow us to prove that the proximal point method (with
Bregman distances), whose convergence was known to happen for maximal monotone
operators, still converges when the operator involved in it is monotone with
sequentially weakly closed graph.
"
Mathematics,math.AT,Algebraic string bracket as a Poisson bracket,"  In this paper we construct a Lie algebra representation of the algebraic
string bracket on negative cyclic cohomology of an associative algebra with
appropriate duality. This is a generalized algebraic version of the main
theorem of [AZ] which extends Goldman's results using string topology
operations.The main result can be applied to the de Rham complex of a smooth
manifold as well as the Dolbeault resolution of the endomorphisms of a
holomorphic bundle on a Calabi-Yau manifold.
"
Electrical Engineering,eess.SP,Rayleigh fading suppression in one-dimension optical scatters,"  Highly coherent wave is favorable for applications in which phase retrieval
is necessary, yet a high coherent wave is prone to encounter Rayleigh fading
phenomenon as it passes through a medium of random scatters. As an exemplary
case, phase-sensitive optical time-domain reflectometry (\Phi-OTDR) utilizes
coherent interference of backscattering light along a fiber to achieve
ultra-sensitive acoustic sensing, but sensing locations with fading won't be
functional. Apart from the sensing domain, fading is also ubiquitous in optical
imaging and wireless telecommunication, therefore it is of great interest. In
this paper, we theoretically describe and experimentally verify how the fading
phenomena in one-dimension optical scatters will be suppressed with arbitrary
number of independent probing channels. We initially theoretically explained
why fading would cause severe noise in the demodulated phase of \Phi-OTDR; then
M-degree summation of incoherent scattered light-waves is studied for the
purpose of eliminating fading. Finally, the gain of the retrieved phase
signal-to-noise-ratio and its fluctuations were analytically derived and
experimentally verified. This work provides a guideline for fading elimination
in one-dimension optical scatters, and it also provides insight for optical
imaging and wireless telecommunication.
"
Electrical Engineering,eess.SY,"Dynamic Contract Design for Systemic Cyber Risk Management of
  Interdependent Enterprise Networks","  The interconnectivity of cyber and physical systems and Internet of things
has created ubiquitous concerns of cyber threats for enterprise system
managers. It is common that the asset owners and enterprise network operators
need to work with cybersecurity professionals to manage the risk by
remunerating them for their efforts that are not directly observable. In this
paper, we use a principal-agent framework to capture the service relationships
between the two parties, i.e., the asset owner (principal) and the cyber risk
manager (agent). Specifically, we consider a dynamic systemic risk management
problem with asymmetric information where the principal can only observe cyber
risk outcomes of the enterprise network rather than directly the efforts that
the manager expends on protecting the resources. Under this information
pattern, the principal aims to minimize the systemic cyber risks by designing a
dynamic contract that specifies the compensation flows and the anticipated
efforts of the manager by taking into account his incentives and rational
behaviors. We formulate a bi-level mechanism design problem for dynamic
contract design within the framework of a class of stochastic differential
games. We show that the principal has rational controllability of the systemic
risk by designing an incentive compatible estimator of the agent's hidden
efforts. We characterize the optimal solution by reformulating the problem as a
stochastic optimal control program which can be solved using dynamic
programming. We further investigate a benchmark scenario with complete
information and identify conditions that yield zero information rent and lead
to a new certainty equivalence principle for principal-agent problems. Finally,
case studies over networked systems are carried out to illustrate the
theoretical results obtained.
"
Economics,econ.GN,Network embeddedness indicates the innovation potential of firms,"  Firms' innovation potential depends on their position in the R&D network. But
details on this relation remain unclear because measures to quantify network
embeddedness have been controversially discussed. We propose and validate a new
measure, coreness, obtained from the weighted k-core decomposition of the R&D
network. Using data on R&D alliances, we analyse the change of coreness for
14,000 firms over 25 years and patenting activity. A regression analysis
demonstrates that coreness explains firms' R&D output by predicting future
patenting.
"
Computer Science,cs.CC,NP by means of lifts and shadows,"  We show that every NP problem is polynomially equivalent to a simple
combinatorial problem: the membership problem for a special class of digraphs.
These classes are defined by means of shadows (projections) and by finitely
many forbidden colored (lifted) subgraphs. Our characterization is motivated by
the analysis of syntactical subclasses with the full computational power of NP,
which were first studied by Feder and Vardi.
  Our approach applies to many combinatorial problems and it induces the
characterization of coloring problems (CSP) defined by means of shadows. This
turns out to be related to homomorphism dualities. We prove that a class of
digraphs (relational structures) defined by finitely many forbidden colored
subgraphs (i.e. lifted substructures) is a CSP class if and only if all the the
forbidden structures are homomorphically equivalent to trees. We show a
surprising richness of coloring problems when restricted to most frequent graph
classes. Using results of Ne\v{s}et\v{r}il and Ossona de Mendez for bounded
expansion classes (which include bounded degree and proper minor closed
classes) we prove that the restriction of every class defined as the shadow of
finitely many colored subgraphs equals to the restriction of a coloring (CSP)
class.
"
Physics,cond-mat.quant-gas,Controlled collisions of two ultracold atoms in separate harmonic traps,"  We consider controlled collisions between two ultracold atoms guided by
external harmonic potentials. We derive analytical solutions of the
Schroedinger equation for this system, and investigate the properties of
eigenergies and eigenstates for different trap geometries as a function of a
trap separation and of the scattering length. When varying the trap separation
the energy spectrum exhibits avoided crossings, corresponding to trap-induced
shape resonances. Introducing an energy-dependent scattering length we
investigate the behavior of the system in the vicinity of a magnetic Feshbach
resonance. Finally, we illustrate our analytical results with two examples: the
quantum phase gate controlled by the external magnetic field, and a scheme for
a coherent transport of atoms in optical lattices into higher Bloch bands.
"
Statistics,stat.AP,"The Impact of Employment Web Sites' Traffic on Unemployment: A Cross
  Country Comparison","  Although employment web sites have recently become the main source for re-
cruitment and selection process, the relation between those sites and unemploy-
ment rates is seldom addressed. Deriving data from 32 countries and 427 web
sites, this study explores the correlation between unemployment rates of
European countries and the attractiveness of country specific employment web
sites. It also compares the changes in unemployment rates and traffic on all
the aforementioned web sites. The results showed that there is a strong
correlation between web sites traffic and unemployment rates.
"
Quantitative Finance,q-fin.EC,"The Installation Costs of a Satellite and Space Shuttle Launch Complex
  as a Public Expenditure Project","  From the 1940's to the present, space explorations, which is a highly
important topic for the world and human beings, penetrate into many areas from
the communication to the national security as well as from the discovery of
exoplanets and new life forms to space mining. On the top of the countries
which do researches on these fields are the developed countries and the
developing countries are only used as launch areas, in an irrelevant manner of
the research and development. However, developing countries can significantly
reduce foreign dependency and security flaws as well as providing important
reputation gain in international platforms by conducting space research and
development activities as already done by developed countries. All the large
scale space probes conducted by developed countries oblige Turkey to develop
space researches in terms of economy, security and scientific aspects. Due to
these reasons, the approximate costs of a launch base, which will be installed
to conduct space researches in Turkey, and of a satellite or a spacecraft,
which will be able to launch from this base and serve a variety of purposes,
are calculated in this study. In an effort to make the mentioned calculations,
examples of various countries that have already established a launch base and
already launched from these bases are analyzed and some projections are built
for Turkey by calculating the estimated costs. Since these projections must be
carried out by the Republic of Turkey since the private sector in Turkey will
not be willing to invest in such activities, the possible public advantages can
be gained through these activities are also mentioned and evaluated.
"
